,CorporateIdentityNumber,NameOfTheCompany,Sector,NetWorth_DCYMain,SpecificCommitmentsGoalsAndTargetsSetByTheEntityWithDefinedTimelinesExplanatoryTextBlock,PerformanceOfTheEntityAgainstTheSpecificCommitmentsGoalsAndTargetsAlongWithReasonsInCaseTheSameAreNotMetExplanatoryTextBlock,StatementByDirectorResponsibleForTheBusinessResponsibilityReportHighlightingESGRelatedChallengesTargetsAndAchievementsExplanatoryTextBlock,DetailsOfTheHighestAuthorityResponsibleForImplementationAndOversightOfTheBusinessResponsibilityPolicyExplanatoryTextBlock
0,L29261WB1998PLC087404,Texmaco Rail & Engineering Limited,Construction,248559.43,"The Company is engaged in identifying relevant areas and key performance indicators for each principle that would aid in laying roadmap for attaining short, medium and long term goals and target.","The performance of the Company on Environment, Social and Governance measures are provided in the respective principles of this report.","The Board of Directors of the Company endorses responsible business practices to face ESG related challenges and are committed towards continuous improvement in business operations catering sustainability. 

Manufacturing industry has inherent environmental risks. The Company is focusing on optimizing resource consumption and maintains equitable development in and around its plant locations. The Company had also implemented a range of initiatives for its employee health and safety, fostering inclusive and diverse workplaces, ensuring fair labour practices, and promoting community engagement. The Company is dedicated in maintaining effective governance framework with transparent reporting, accountability mechanisms and ethical behavior at all levels of our organization.",Board of Directors
1,L40200WB1935PLC008184,Linde India Limited,Construction,34345300000.0,Yes,Yes,"The Company endeavors to continuously strive towards sustainability accompanied by growth and believes that its success will be determined to a great extent by its proactive response to environmental, social and governance targets. Towards this end, the Company has taken and will continue to take measures, focusing on business conduct and positive responses to sustainability issues pertaining to environmental and social matters.","Name: Mr. Abhijit Banerjee
DIN: 08456907
Designation: Managing Director (MD)"
2,L70200MH2002PLC136849,Man Infraconstruction Limited,Construction,13997734134.34,No,Not Applicable,"The MICL Group, encompassing Real Estate and EPC sectors, prioritizes responsible and sustainable business practices. We firmly believe that robust governance principles are essential for creating enduring value for stakeholders and promoting sustainability. Our organization is rooted in core values of fairness, effectiveness, and efficiency, guiding our operations.

Environmental stewardship is integral to our business ethos. We actively work towards reducing our carbon footprint, implementing dust control measures, and monitoring resource consumption. Through targeted efforts, we aim to decrease electricity and fuel usage while adopting best practices for waste management, emphasizing recycling and minimizing landfill diversion.

We are committed to prioritizing the health, well-being, and empowerment of our employees. Additionally, our CSR and social initiatives reflect our dedication to supporting vulnerable communities. MICL Group continually seeks to enhance existing practices, striving for excellence in environmental, social, and governance domains to create a positive impact on society and the environment.

As a Company firmly believing in Sustainable Construction and Sustainable Development, we are in a constant quest for Continual Improvement covering processes and outcomes related to Environment, Social, and Governance and addressing all stakeholders. Our proactive approach ensures that we address environmental concerns, promote social welfare, and uphold robust governance practices. Through ongoing efforts, we strive to create a positive impact on society and the environment while fostering long-term sustainability and resilience.","Mr. Ashok M. Mehta, Director
ashok@maninfra.com
DIN : 03099844"
3,L27109MH1962PLC265959,NATIONAL STANDARD (INDIA) LIMITED,Construction,2591373091.0,,,Declaration,Director
4,L74899DL1992PLC051527,KEI INDUSTRIES LIMITED,Construction,31359513275.36,"Our objective is to generate value for all involved in our operations, not only through our products, but by effectively balancing our sustainability goals with our business objectives. To this effect, KEI has worked extensively with its stakeholders and working on strategic objectives aiming towards sustainable operations. KEI has identified key material topics through materiality survey it conducted across its stakeholders during the year. Basis that it is in process to define its roadmap towards sustainability. Following are some of the themes identified for the roadmap:

1. Climate Change and Energy Monitoring and reduction in emission, water and waste.

2. Health & Safety – Ensuring zero fatalities at all our plants.

3. Supplier engagement – Undertaking supplier due diligence to ensure alignment with ESG principles.

4. ESG Reporting – Work towards enhancing ESG reporting process and establish clear accountability.","The company is unwavering in its commitment to sustainability and has taken multiple steps to this direction.
Following are key initiatives on environment front :
• Solar Power Installation: A state-of-the-art rooftop solar power system with a capacity of 3.905 MW has been installed and is successfully operating across the plants, reducing our relianceon non-renewable energy sources.
• Natural Gas Utilization: KEI has transitioned from using diesel and furnace oil to natural gas in our boilers, thereby reducing toxic emissions and contributing to a cleaner environment.
• Energy Monitoring Systems: An online energy monitoring system has been implemented to track electricity and diesel usage, optimizing energy consumption and enhancing operational efficiency.
• Zero Liquid Discharge (ZLD) Plant: At our plants, we have installed a Zero Liquid Discharge Plant to treat wastewater. This plant purifies and recycles water, ensuring no liquid waste is discharged into the environment.
• Sewage Treatment Plants (STP): All our plants are equipped with Sewage Treatment Plants.
FY24 Performance-
Emission Management:
Scope 1 & 2 emission intensity reduction 10.5%
Energy Efficiency:
Energy intensity reduction 2.4%
Renewable energy improvement 5%
Waste Management:
Waste to Landfill 0%
Waste intensity reduction 7.5%
Following are key highlights of KEI’s performance on social
aspects:
• Health and Safety: KEI is OHSAS 45001:2018 certified. We have stringent safety protocols and wellness programs in place to ensure a safe working environment. • Corporate Social Responsibility (CSR): Our CSR
initiatives primarily focus on eradicating hunger, promoting healthcare, promoting education, ensuring environmental sustainability, protection of national heritage, art and culture and animal welfare, which are essential for promoting sustainable human development and economic growth. We support various programs aimed at improving community health and providing educational opportunities.
• Diversity and Inclusion: KEI is committed to fostering a diverse and inclusive workplace, promoting equal
opportunities for all employees regardless of their background.
• Supplier engagement – We conducted several engagement sessions with suppliers on ESG aspects
and initiated due diligence process to gauge readiness on these issues. To enhance the governance framework, KEI has undertaken several measures to ensure transparency, accountability, and robust management practices:
Digital Transformation:On the digital front, we have initiated the implementation of Salesforce, a robust and
versatile customer relationship management (CRM) software. This will strengthen our relationships with channel partners and enhance our customer service capabilities. Salesforce automates the workflows, reducing manual
intervention and ensuring a smooth and timely process. Automated notifications and reminders keep all concerned KEI Team Members informed and help to act accordingly.
KEI has also implemented digital platform to collect and monitor its ESG data across the organization.
This step is expected to add significant value in our non-financial reporting and commitment to transparency.
KEI has introduced BoardPAC which provides an effective way for Board of Directors to access the board papers and supplementary information directly to their iPad, Android or Windows 10 devices, therefore eliminating the need for printing multiple copies of each document and couriering such documents to the Directors.
KEI Connect app is an innovative digital initiative by KEI Industries Ltd, designed to offer direct loyalty benefits and various schemes to our diverse Electricians, Retailers, Shop Boys, and Contractors.
KEI Supply Beam app empowers dealers and distributors in smooth ordering process, check and download the invoice, make payment leading to transparent record keeping and financial management for our partners. This cuttingedge app is equipped with a range of features to enhance engagement and transparency across the
supply chain.","Statement by director responsible for the business responsibility report, highlighting ESG related challenges, targets and achievements (listed entity has flexibility regarding the placement of this disclosure).

We are proud to present the second edition of our Business Responsibility and Sustainability Report (BRSR), emphasizing our resolute commitment to Environmental, Social, and Governance (ESG) principles. KEI as a responsible organisation believes that incorporating and adhering to ESG principles is critical for establishing company’s long-term commitment to sustainable growth of the organization. The report highlights our progress across various aspects, such as natural resource and waste management, human capital management, health and safety of our employees and workers, our relations with various stakeholders and our commitment to ethics and compliances. 

Over the last year, we have progressively integrated ESG concerns into our company processes to ensure compliance with global ESG standards and regulations. We have defined and prioritized our essential material topics which now form the core of our strategic decision-making process. Our methodical approach has enabled us to better recognize and address opportunities and risks, building resilience and flexibility in a constantly changing business environment. To ensure all stakeholders are inline with company’s vision towards sustainability, we put lot of thrust and efforts in building awareness around Environment, Social and Governance issues at our corporate and factory locations as well with our value chain partners. 

Our commitment to sustainability is a cornerstone of our corporate culture and Company is fully committed to its obligations towards sustainable growth.","Mr. Anil Gupta
Designation: Chairman-cum-Managing Director
DIN: 00006422"
5,L23201DL2001PLC174076,Salasar Techno Engineering Limited,Construction,448.06,"•Reduce companywide absolute Scope 1 and 2 GHG emissions by 10% by 2030, against a 2023 base year
•Stakeholder engagement exercise 2023-25 
•Implement sustainable sourcing practices in its supply chain by 2028
•Obtain ZLD in all plants by 2029","•The company has made significant efforts to reduce its absolute Scope 1 and 2 GHG emissions 
•Conducted a stakeholder engagement exercise via materiality assessment in 2024-25 
•The company is planning to implement ISO 20400 for sustainable procurement
•The company has achieved ZLD in one Plant","At Salasar Techno Engineering, we are in a critical phase of embracing sustainability. Integrating Environmental, Social, and Governance (ESG) principles into our core operations is essential for sustainable growth and long-term value creation. We face challenges in enhancing environmental management, addressing social issues, and strengthening governance structures to meet evolving regulatory expectations.
Our ambitious targets include reducing Scope 1 and 2 GHG emissions by 10% by 2030 (against a 2023 base year), obtaining Zero Liquid Discharge (ZLD) certification for all plants by 2029, and implementing sustainable sourcing practices by 2028.
We have made significant progress: our GHG emissions reduction efforts are underway, we conducted a stakeholder engagement exercise in 2023-25, and we are planning to implement ISO 20400 for sustainable procurement. Additionally, we achieved ZLD in one plant. Continuous improvement drives our approach to sustainability. We are committed to regular reviews and refinements, focusing on innovation, collaboration, and proactive engagement to achieve our targets, fostering a sustainable and inclusive future for Salasar Techno Engineering and its stakeholders.","Mr. Alok Kumar 
Managing Director 
DIN: 01474484"
6,L45200MH1993PLC071970,ASHOKA BUILDCON LIMITED,Construction,38124993000.0,"Our Company recognizes the significance of establishing targets to assess advancement towards achieving all the principles of the NGRBC. Since the ESG reporting is at the initial stage, commitments and targets will be set out and performance of the same will be evaluated in due course of time.",Monitoring processes are being developed in order to periodically review the performance against the commitments and targets,"Good governance is at the core of all our operations. We believe in highest ethical standards while functioning, and continue to follow the same and watchful about all the compliances. As an organization, we understand the significance of environmental, social, and governance practices in fostering a better future for the community. Our operations focus on integration of ESG practices through various initiatives for achieving our sustainability goals. Our CSR initiatives cover various sectors mainly healthcare and education. We maintain a culture of fairness and equality by providing consistent food quality, regular health check-ups, health & safety awareness campaigns from time to time at sites and employee engagement activities. We also provide training on health & safety, quality and functional aspects.","Mr. Sanjay Londhe, Whole-time Director and CEO (Projects)"
7,L45201KA1995PLC018475,Sobha Limited,Construction,23579.27,We are in the process of re-evaluating our existing sustainability standards and setting the goals and targets in line with the NGRBC/GRI framework.,We are in the process of re-evaluating our existing sustainability standards and setting the goals and targets in line with the NGRBC/GRI framework.,"At SOBHA we have various mechanisms and systems in place to ensure our focus on ESG remains strong. Our ‘Towards better living’ principle focuses on making our planet more sustainable, committing to compassionate social development and conducting business with the highest ethical standards. 

Protecting our environment has been a focus since inception. Our product quality is of the highest standards in the industry, made possible by stringent processes and sustainability practices deeply embedded. Across our operations and projects, we use an integrated solid waste management system that operates on the 4R principles — Reduce, Reuse, Recycle and Recover that has helped minimising environmental impact. 

The real estate business is a long gestation business with an even longer value chain characterised by many regulations and stipulations within which real estate companies have to work with. The sector is more regulated and monitored since the establishment of RERA (Real Estate Regulatory Authority). Customers have welcomed this change. This has also had a positive impact on the sector with developers and builders more accountable and adhering to various norms. SOBHA’s strength lies in the transparency and integrity of its organization and the way it conducts business – a critical factor that continues to attract customers to SOBHA, in addition to the quality and timely delivery of projects. 

Our focus and efforts will be in addressing opportunities and challenges alike. We will set up more robust systems to better measure, monitor and analyse operational data to make process improvements, minimise material usage and wastage, better water and waste management, increase adaption of renewable energy while reducing overall energy consumption. 

Across our projects we consciously will look at better material and adopt construction technologies to make building last longer, reduce the need for maintenance, and implement innovative designs that further enhance ‘green cover’.

Availability of skilled labour and qualified technicians is a growing challenge, given other less challenging job opportunities that don’t require too much physical labour. This is an area that needs to be addressed wholistically with enhanced Government, education, and industry participation with a clear objective to enhance competencies and better use of modern technology and practices. With regulations getting more stringent, SOBHA will enhance its management practices to ensure an inclusive approach to better addressing governance. 

As we continue to grow, SOBHA will evolve, deepening its focus on enhancing a wellbeing of employee, a more sustainable planet, healthier and prosperous communities and an organization thriving with employees who wish to make long and fulfilling careers at SOBHA.",Board of Directors supported by the Managing Director who briefs the Board on subject matter periodically.
8,L74999DL2003GOI118633,Rail Vikas Nigam Limited,Construction,78672821093.12,"Our organisation has entered a new chapter by issuing the Business Responsibility Sustainability Report, which signifies our adoption of ESG reporting. Thanks to this initiative, we now have more room to expand and can better align ourselves with our international competition. We have modified our work processes and policies to assist in this endeavour. In addition, several ISO standards such as ISO 45001, ISO 26000, ISO 20400 and ISO 37001 are now being implemented. Several of our projects are still in the early phases of development and should be finished on time, it''s vital to remember that.","RVNL''s use of ISO standards including ISO 26000, ISO 20400 and ISO 37001 demonstrates its commitment to operational excellence and global recognition. The organisation is currently working on several projects and it is committed to continuous development because of its proactive approach to enhance policies and processes. Thanks to its open and globally compliant","We are dedicated to incorporate sustainability and responsibility into our business processes as a responsible corporate entity. Ensuring accountability and transparency in the business sector has advanced significantly with SEBI''s introduction of the Business Responsibility and Sustainability Report (BRSR). RVNL is committed to follow the values and rules stated in the BRSR framework and we completely support this endeavour. We think that ethical business practices benefit not just our stakeholders but also the environment and society and that sustainable growth is crucial for long-term success. 

In our BRSR, we have described our endeavours and accomplishments in several ESG areas in depth such as our social contributions, governance procedures and environmental effects. Strong measures have been put in place to reduce our carbon impact, support diversity and inclusion and maintain the highest moral standards. While acknowledging that we can always do better, we are happy about our progress. We will keep pushing for excellence in sustainability and accountability as we proceed coordinating our objectives with the larger global agenda for sustainable development.","Mrs. Anupam Ban, Director (Personnel)"
9,L45200MH1999PLC118949,Mahindra Lifespace Developers Limited,Construction,18729866000.0,"Mahindra Lifespace Developers Limited has ESG and other business commitments with detailed goals & yearly targets (defined in the 5-year roadmap available on the company website), and the progress against these targets is communicated through the sustainability/integrated report and other stakeholder disclosures such as CDP & GRESB available in the public domain.
Commitments:
1. 100% Green Portfolio
2. Carbon neutrality by 2040 (Science Based Targets as enabler)
3. Net Zero by 2030
The company’s detailed ESG commitments and targets can be accessed at -https://www.mahindralifespaces.com/sustainability-core/our-commitments/","As all the targets are long-term, MLDL annually monitors and measures the performance against each of the commitments and the associated targets, and the same is disclosed in the public domain with details on the actions/initiatives implemented to achieve the same. The performance of the company against the commitments can be accessed from our website here-

Residential Business -
https://mldlprodstorage.blob.core.windows.net/live/2024/06/Roadmap-Progress-and-Material-Topics-Alignment-with-SDG-Residential_FY-24.xlsx

Integrated Cities and Industrial Clusters Business -
https://mldlprodstorage.blob.core.windows.net/live/2024/06/Roadmap-Progress-and-Material-Topics-Alignment-with-SDG-IC-IC_FY-24.xlsx","Dear Stakeholders, 

I am delighted to introduce our third Integrated Annual Report. This report outlines the important achievements and notable events from the previous fiscal year and our business strategies. We have delivered robust business and operational performance, while also creating significant positive impact on both the society and the environment. I am energized by the dedication and passion shown by our team members, who are constantly striving to improve efficiency across the board.  

This year we celebrate 30 glorious years marked by our dedication to lead as a responsible real estate company. Our focus is to create a diversified portfolio of modern sustainable homes, inclusive communities, integrated cities and industrial clusters (IC&IC).   

According to the National Statistical Office (NSO), India’s Gross Domestic Product (GDP) accelerated by 7.6% in FY 2023-24, compared to 7.0% in FY 2022-23. Construction sector accounts for about 30% of the share of all industries, registering an impressive growth of 10.7% in FY 2023-24. India''s strong macroeconomic performance and stability in the financial sector have benefitted the real estate industry as well. Despite relatively high interest rates, consumer demand and sales remained buoyant in the residential sector. Additionally, there was significant demand in the industrial segment, driven by both domestic and international businesses. 

Our business strategy is geared towards creating long term value for its customers, shareholders and society at large, while maintaining a strong focus on technology, sustainability, innovation and governance. In the residential segment, we have sharpened our focus on: 
1. Key markets – Mumbai, Pune and Bengaluru;  
2. Customer segment: premium and mid-premium;  
3. Transaction type: Outright acquisition of land purchase, Joint Development Agreements and society redevelopment projects;  
4. Product segment: high-rise apartments, plots, villa and row-houses, and supporting retail/ commercial.  

We have successfully executed eight launches in FY 2023-24 leading to INR 2,32,800 Lakh of pre-sales, which is the highest ever recorded in the history of your Company. On the land acquisition front, we added INR 4,400 crore worth of gross development value (GDV), which is 38% over FY 2022-23. 	 

The IC & IC business, is propelled by:   
• Strong domestic economy and increase in consumption-led demand; 
• Government’s infrastructure push and a supportive policy environment; 
• Attractive alternative for global corporations looking to diversify operations.

These factors have contributed to strong continued traction in our Mahindra World Cities in Jaipur and Chennai and in Origins by Mahindra. These projects have a combined gross area of about 4,800 acres and a leasable potential of about 3,300 acres. Our strategy is to maximize the value from existing and upcoming projects in the segment.  

Moreover, in alignment with our core values and business philosophy, our approach embraces value creation through a strong focus on Environment, Social, Governance (ESG) practices. Our robust policies and procedures integrated across our operations, promote transparency and adaptability. Our approach to ESG value creation includes identifying opportunities, risks and measuring impact. Protecting direct interests of our stakeholders is the fulcrum of our approach.  The company has cultivated strong capabilities in its services, emphasizing scalability, punctual delivery, responsible living, all aligned through the guiding principles of a robust ESG framework. 

We have a laser sharp focus on operational eco-efficiency of our projects, which lead to a direct benefit to our customers and contribute to fostering a more responsible community. Cascading our three-tiered (quality, safety and environment) sustainability philosophy down to our supply chain is critical to our operations. 

YEAR IN BRIEF 

We have experienced robust expansion this year, with positive performance in both Residential and Industrial sectors. The Residential segment particularly saw significant activity across essential operational aspects including land procurement, construction, sales, and collections.  

Our residential portfolio includes 37.33 msft. of total development footprint (21.14 msft. of completed and 16.19 msft. of ongoing and new projects). We have registered sales of INR 2,32,800 Lakhs in FY 2023-24 in this segment (increase of 28.5% from the previous year). Construction activity saw considerable momentum, growing from 0.65 msft. in FY 2022-23 to 1.26 msft. in FY 2023-24. For IC&IC, the total lease premium generated was INR 36,960 Lakhs in FY 2023-24. 

We have exceeded the previous year''s performance on various fronts. Highlighting our financial growth, we had total sales of INR 2,69,800 Lakh resulting in 19% growth from the previous year. 

WAY AHEAD 

Our ambition is to redefine real estate in India, setting unprecedented benchmarks for excellence and delivering unparalleled value to our clientele. Embracing a ""first-time-right"" ethos in construction, with a relentless focus on customer satisfaction.

We, at Mahindra Lifespaces are currently developing projects with footprint of 9.78 million square feet. Another 6.41 million square feet will be made available from our future projects (including new phases in on-going projects and forthcoming projects). We have a healthy pipeline of land deals and will continue to evaluate further opportunities in the residential business. In parallel, we also see considerable opportunities for redevelopment projects and acquisition of stressed assets. 

Together this strategy will drive us towards our aspiration of growing 5 times over the next five years. Our goal is to pursue profitable growth while leaving a meaningful and enduring impact. 


Regards 
Amit Kumar Sinha 
Managing Director & CEO","Spearheaded by the Board of Directors (BoD), responsible for overseeing- formulation of our policies and strategy, Implementation and oversight of the business responsibility rests with the Chief Executive Officer (CEO) and senior leaders. Read more in the Sustainability Governance Structure section under Leadership and Governance chapter (Sustainability Governance Structure) in the Integrated Annual Report FY 2023-24 available on our website."
10,L74899DL1974GOI007227,RITES Limited,Construction,25070000000.0,"Provide
value to
customers","Customer Satisfaction Index maintained above 90%. Multidisciplinary Presence with Pan India Reach and to be the Go-To
Infrastructure Consultancy Company.
Received Performance Award by our Client (Rashtriya Chemical and Fertilizer Limited) in recognition of excellent service
offered.","“RITES is committed to offering integrated solutions which provide a solid foundation for building Infra4Future. We’re leveraging
our GREEN insight into action, overcoming ESG-related challenges, and making the business sustainable & socially responsible. The
company’s ESG Policy speaks of its aspiration to be a well-governed organization striving for excellence while keeping its objectives
and values central to its ethos.”","Shri Arun Kumar Singh, Director (Projects)"
11,L27104MH1985PLC035659,AJMERA REALTY & INFRA INDIA LIMITED,Construction,7788152859.0,"1. Conduct customer
satisfaction surveys.

2. Address & resolve their
grievances/issues","A grievance redressal policy has
been adopted by ARIIL to receive
and respond to consumer/customer
& stakeholders’ complaints and
feedback. Periodic meetings &
reviews are conducted to address
& resolve customer/stakeholder
complaints & issues.","Mr. Rajnikant S. Ajmera (DIN: 00010833), “As the Director of Ajmera Realty & Infra India Ltd., I am proud to
report on our progress in advancing sustainability and responsible business practices. We recognize the
significant ESG-related challenges faced by our industry and society at large and are committed to addressing
them through our operations and projects. Our targets include reducing our carbon footprint, promoting
social inclusion and diversity, and fostering ethical governance and transparency. We have made significant
strides towards these targets, with achievements such as adopting green building standards, establishing
employee diversity and inclusion policies, and enhancing our reporting and accountability frameworks.
However, we know there is still much to do, and we will continue to learn, innovate, and collaborate to build
a more sustainable and resilient future.","The Board of Directors are responsible for monitoring the implementation and oversight of the Business
Responsibility policies of ARIIL."
12,L75100MH1929PLC001530,Reliance Infrastructure Limited,Construction,55669678424.0,No,Nil,"At Reliance Group, Sustainability and Governance are of utmost importance. Our philosophy is to adopt ESG principles in all our businesses. The Company is committed to achieving an excellence in environmental performance, preservation and promotion of clean environment. We strive to deliver reliable and quality services to our consumers while remaining conscious of our responsibilities towards creating, conserving and ascertaining safe and clean environment for sustainable development by adopting appropriate technologies and practices to minimize environmental impact of our activities.
	
The imperative is to use natural resources efficiently to leave a minimal carbon footprint and impact on biodiversity across our business value chain. The group strives to develop and promote processes and newer technologies to make all our products and services environmentally responsible. The philosophy behind is to create a sustainable eco-sphere of low carbon economy by following the 5R guidelines of Reduce, Reuse, Recycle, Renew and Respect for the environment and its resources through the entire supply management.
	
Engagement of the community is paramount for sustaining a programme on ground. We aim to make a positive difference in the communities, ensure engagement of the community at the very planning stage and thereafter inducting them at the implementation level. This not only ensures acceptance of the programme on ground but also its continuity and sustainability.
	
We believe our role as ''Enablers'' can promote dynamic development by creating synergies with our partners in growth and success - the ''Communities''. We are committed to augmenting the overall economic and social development around the local communities where we operate by discharging our social responsibilities in a sustainable manner. The interventions have been aligned with that of the government mandate both at the local as well as the state level. We have been working in the direction of creating meaningful partnerships through series of engagements and transparency in our processes across Board.
	
To summarize, we at Reliance Group strive to live up to our responsibilities as corporate citizens and continue with our endeavour to bring about an all round transformation in the vicinity of all our project sites for the common good of the community as a whole. In this Business Responsibility and Sustainability Report (“BRSR”) prepared in line with the mandates by the Securities and Exchange Board of India (“SEBI”) containing enhanced ESG disclosures gives an insight into the Groups contribution to the environment, community and Society.

	Punit Garg					           S S Kohli
	
           Executive Director and                                           	                                                   Chairman
           Chief Executive Officer                                                                                                   CSR Committee","Corporate Social Responsibility and Sustainability Committee of the Board of Directors of the Company is responsible for implementation and oversight of the Business Responsibility policy(ies).
The Composition of the Committee is as under:
Name of Director	DIN	                Catogary                  	Role
Shri S S Kohli	00169907	Independent Director	Chairman
Ms. Manjari Kacker	06945359	Independent Director	Member
Shri K Ravikumar	00119753	Independent Director	Member
Ms. Chhaya Virani	06953556	Independent Director	Member
Shri Punit Garg	00004407	Executive Director	                Member"
13,L40102GJ2008PLC083302,KPI GREEN ENERGY LIMITED,Construction,8356837987.0,"The Group''s commitment to achieving 10 GW of capacity by 2030 aligns with its dedication to sustainable development and the overarching goal of Nation Building. This commitment serves as a guiding framework for investments in businesses that drive India''s economic growth and improve citizen well-being. The Company has integrated this sustainability commitment into its strategy, business processes, and decision-making practices. We are in the process of setting sustainability goals related to Board Governance aligned with benchmark practices, exploring possibilities of bringing the carbon and water footprint down for internal business operations, zero incidents at workplace,  comprehensive materiality assessment & stakeholder engagement and aligning CSR initiatives of the Company with the UNSDGs.","To achieve the 10 GW target by 2030, the entity''s performance will be evaluated against specific commitments, goals, and targets. Progress will be monitored regularly, with adjustments made as necessary to stay on track. If certain goals or targets are not met, the entity will analyse the underlying reasons, which may include factors such as unforeseen market conditions, regulatory changes, technological challenges, or resource constraints. The entity will then implement corrective measures to address these issues and ensure continued progress toward the 10 GW goal. Further, KPIs of the Company will be measured & monitored internally and corrective actions will be taken.","The  power sector is critical to economic growth, but conventional power is known  for emitting  pollutants that  are  harmful  to the environment. The  Company generates power from renewable energy sources, which not only helps to reduce greenhouse gas emissions but also  helps to propel economic growth  in a more environmentally friendly manner. The  Company is aware of its social responsibility and  has deeply embedded Environmental and  Social Governance (ESG) principles in its process, and  all activities are  carried out responsibly in accordance with these principles. We are constantly striving  to improve processes and contribute to society in order  to create a better future.  We also assist our customers in meeting their goals for reducing carbon emissions and  achieving growth  with minimal  environmental impact.",The  Risk Management Committee of the  Board is mandated for overall  risk monitoring and  implementation of risk mitigation initiatives. Sustainability risk monitoring is also  a part  of the  overall  risk management and  monitoring framework that  this Committee is tasked with.
14,L45200MH1926PLC001228,Hindustan Construction Company Ltd.,Construction,921.08,-,-,"HCC believes in environmental transparency and disclosing its activities’ economic, environmental, and social impacts through sustainability reports. It had published thirteen sustainability reports accredited by the Global Reporting Initiative guidelines. The Company engages a third-party assurance provider to review the contents and accuracy of our sustainability reporting.

One of HCC’s overarching sustainability priorities is designing and building infrastructure in an environmentally responsible manner. Its Integrated Management System reflects the commitment to improving environmental, safety and quality performance in ways that go beyond regulatory compliance. The Company is also conscious of material consumption and water footprint and encourages energy-efficient practices.

The Company is a member of UN Global Compact (UNGC), TERI-World Business Council on Sustainable Development and signatory to various UNGC initiatives, including ‘Caring for Climate’ and ‘The CEO Water Mandate’.","Name of Director: Mr. Arjun Dhawan
Designation:          Executive Vice Chairman
DIN:                      01778379"
